title,original_price,current_price
Humoss Ribella Klasiskais 200g,"2,15 € - 2,39 €",1.59
D Sulas Dzēriens Granini Greipfrūtu 45% 1l Pet,"3,99 € - 4,29 €",3.19
Graudainais Biezpiens Smiltene 9% 200g,‌,1.39
Graudainais Biezpiens Smiltene 0.5% 200g,‌,1.29
Jogurts Valmiera Grieķu 0% Bez Laktozes 350g,‌,1.39
Nūdeles Santa Maria Olu 250g,‌,1.49
Sinepes Tip Top  260g,‌,1.39
Saldējums Pols Ar Cepumiem Uz Kociņa 70g,"1,09 € - 1,29 €",0.79
Dušas Želeja Dove Men Clean Comf.400ml,"4,99 € - 5,29 €",2.99
Dušas Želeja Dove Men+care Cool Fresh 400ml,"4,99 € - 5,29 €",2.99
Saldējums Mr.big Zemeņu Un Vaniļas Glazūrā 84g,"1,19 € - 1,49 €",0.79
Saldējums Magnum Double Cherry 71g,‌,1.29
Saldējums Magnum Double Hazelnut 71g,‌,1.29
Dezodorants  Dove  Invisible Dry Sausais 50ml,‌,2.89
Cepamforma Kēksiņiem 12gab Zeltīta 39.6x29.7x3.5cm,"7,99 € - 8,89 €",4.79
Cepamforma Kukulītis Zeltīta 29x17x6.3cm,"5,99 € - 6,79 €",3.59
Cepamforma Kūkām Apaļa Ar Noņemamu Apakšu D28xh7cm,"8,99 € - 10,19 €",5.39
Cepamforma Kūkām Kantaina Ar Noņemamu Apakšu 24x24x6.6cm,"8,99 € - 10,19 €",5.39
Cepamforma Kūkām Apaļa D24.5x4.3cm,"3,99 € - 4,49 €",2.39
Cepamforma Panna Seklā Zeltīta 37x26cm,"5,99 € - 6,79 €",3.59
Biezpiens Opā! Vājpiena 0.5% 170g,‌,0.69
Biezpiens Opā! 9% 170g,‌,0.75
Panna Ar Vāku Optima Nepiedegošs Pārkl. D28cm,"25,99 € - 27,59 €",15.59
Katls  Ar Vāku Maku Basic Nerūsējošā Tēr.3l,"20,99 € - 26,79 €",12.59
Cepamtrauks Maku Keramikas Ar Vāku D12 0.38l,"7,99 € - 8,89 €",4.79
Katls Ar Vāku Maku Deal Melns D16 1.7l,"13,99 € - 14,49 €",8.39
Katls Ar Vāku Maku Deal Melns D20 2.2l,"19,99 € - 21,19 €",11.99
Katls Ar Vāku Maku Deal Melns D24 4.2l,"25,99 € - 26,79 €",15.59
D Dzēriens Fanta Lemon Zero 500ml Pet,"1,35 € - 1,38 €",0.85
D Enerģijas Dzēr. Monster Ultra Strawberry Dreams 500ml Can,"1,75 € - 1,83 €",0.99
D Dzēriens Fanta Tutti Frutti 500ml Pet,"1,35 € - 1,38 €",0.85
Cepamformiņas Keksiņiem Misty Silikona D6.5 12gab,"5,99 € - 6,59 €",4.19
Cepamformiņas Riekstiņiem Delicia 24gab.,"5,49 € - 6,29 €",4.49
Panna Magnat Ilag Premium Pārklājums D22cm,"18,99 € - 20,19 €",15.99
Tējkanna Ar Svilpi Melna 2l,"12,99 € - 13,49 €",9.29
Pudiņš Alma Ar Maskarpone Un Aveņu Garšu 230g,‌,0.89
Stilbi Ķekava Cāļu Bez Locītavas 500g,‌,2.09
Nageti Ādaži Cāļa Gaļas Ar Sieru 300g,"2,89 € - 3,39 €",1.99
Gardums Suņiem Yumzzybites Trušu Čipsi 75g,"1,99 € - 2,29 €",1.49
D Dzēriens Vit.oshee Minerāļi Vīnogu Pit. Negāz. 555ml Pet,"1,59 € - 1,62 €",0.99
"Cālis Rīgas Miesnieks Atdzesēts ~1,5kg Fas.sver.",‌,3.59
D Dzēriens Vit.oshee Magnijs Citr.apels.negāz. 555ml Pet,"1,59 € - 1,62 €",0.99
Gulašs Rīgas Miesnieks Cūkgaļas 380g,‌,2.29
Cāļu Gaļa Rīgas Miesnieks Trīs Sieru Marinādē 400g,"3,39 € - 3,69 €",2.99
Cūkgaļas Karbonāde Rīgas Miesnieks Sulīgā Fas.sver.,"5,49 € - 5,99 €",3.99
Siers Valio Tilsit 500g,"4,49 € - 4,89 €",3.99
Kukurūzas Nūjiņas Tip Top Saldās 130g,‌,1.29
Kukurūzas Nūjiņas Tip Top Ar Citrona Garšu 130g,‌,1.29
Kukurūzas Nūjiņas Tip Top Ar Iebiezināto Pienu 130g,‌,1.29
Sautējums Bla Band Rīsu Hawaiian Ar Garšvielām 195g,"3,99 € - 4,09 €",2.99
Sautējums Bla Band Makaronu Italian Ar Garšvielām150g,"3,99 € - 4,09 €",2.99
Sautējums Bla Band Rīsu Meksikas Ar Garšvielām 188g,"3,99 € - 4,09 €",2.99
Veļas Mazg.kapsulas Purox Color 20gab,"4,49 € - 5,19 €",3.35
Veļas Mazg.kapsulas Purox Universal 20gab,"4,49 € - 5,19 €",3.35
Veļas Mazg.kapsulas Purox Color Gel 35gab,"8,99 € - 10,19 €",6.75
Veļas Mazg.kapsulas Purox Universal Gel 35gab,"8,99 € - 10,19 €",6.75
Veļas Mazg.līdz.purox Color 1l,"2,09 € - 2,19 €",1.55
Veļ.mašīnas Tīr.līdz.purox Silver Box 250ml,"2,79 € - 3,29 €",2.09
Nūdeles Knorr Ramen Pikantās Vistas 63g,"1,09 € - 1,15 €",0.69
Nūdeles Knorr Ramen Ar Vistas Garšu Saldskābā Mērcē 65g,"1,09 € - 1,15 €",0.69
Gardums Suņiem Yumzzybites Jēra Nūjiņas 75g,"1,89 € - 1,99 €",1.49
Gardums Suņiem Yumzzybites Liellopa Strēmelītes 75g,"1,89 € - 1,99 €",1.49
Konservi Šprotes Old Riga Tomātu Mērcē 250g Stikls,"4,59 € - 4,99 €",3.45
Konservi Šprotes Old Riga Eļļā 250g Stikls,"4,59 € - 4,99 €",3.45
Šokolāde Kit Kat Salted Caramele 99g,"2,79 € - 3,29 €",1.99
Šokolāde Kit Kat Hazelnut 99g,"2,79 € - 3,29 €",1.99
Šokolāde Kit Kat Double Chocholate 99g,"2,79 € - 3,29 €",1.99
Griķi Tip Top 800g,‌,1.38
Auzu Pārslas Tip Top 400g,‌,0.69
Desa Ādaži Cacciatore Auksti Kūpināta 200g,"2,69 € - 2,79 €",2.19
Desa Ādaži Nordland Auksti Kūpināta 200g,"2,99 € - 3,09 €",2.19
Sausās Brokastis Tip Top Candy Rings 200g,‌,1.09
Trauku Mazg.mašīnai Tabletes Somat All In1 Extra 75gab,"29,99 € - 31,99 €",16.49
Trauku Mazg.līdz.mayeri Aloe Vera 500ml,"1,69 € - 1,99 €",1.39
Veļas Mazg.līdz.kastanis Color Lavanda 3in1 1.8l,"8,99 € - 9,99 €",5.39
Veļas Mazg.līdz.kastanis Efekts 3in1 1.8l,"8,99 € - 9,99 €",5.39
Biezpiena Sieriņš Alma Vaniļas 40g,"0,59 € - 0,79 €",0.29
D Alus Mežpils Tradicionālais 5% 0.5l Stikls,N/A,N/A
Grūbas Zelta Saule 1kg,‌,0.85
Saldais Krējums Tip Top 35% 200ml,‌,1.09
Vates Plāksnītes Tip Top 120gab,‌,1.19
Prjaņiki Ar Ķiršu Pildījumu 500g,‌,1.49
Ribas Rm Amerikāņu Bbq 900g,"12,99 € - 13,99 €",7.99
Piena Šokolāde Milka Ar Veseliem Lazdu Riekstiem 95g,"1,99 € - 2,29 €",1.69
Sald. Maizītes Latvijas Maiznieks Kanēļa 800g,‌,5.99
Siers Sn Mozzarella Rīvēts 200g,"2,99 € - 3,49 €",2.39
Siers Tip Top Maasdamer Šķēlēs 150g,‌,1.89
D Alus Aldaris Gaišais 5% Top 0.568lx 4gab Can,N/A,N/A
D Dzēriens Coca Cola Cherry Gāz.1l Pet,"1,85 € - 1,93 €",1.15
Rudzu Maize Hanzas Maiznīcas Tumšās Šķēles 450g,"1,65 € - 1,79 €",0.99
Rudzu Maize Hanzas Maiznīcas Tumšās Sēklu Šķēles 450g,"1,79 € - 2,09 €",0.99
Biezpiena Krēms Baltais Protein Zemeņu 200g Stāvpaka,"1,59 € - 1,89 €",1.29
Biezpiena Krēms Baltais Protein Vaniļas 200g Stāvpaka,"1,59 € - 1,89 €",1.29
Zefīrs Woogie Marshmallows Sirsniņas 200g V26,"1,99 € - 2,19 €",1.29
Gardmaize Latvijas Maiznieks Sēļu Ar Ķimenēm 400g,‌,0.99
Kafijas Pupiņas Jacobs Selection Of The Year 1kg,"29,99 € - 31,19 €",17.99
Uzkoda Ādaži Cāļa Filejas 310g,"2,59 € - 2,89 €",2.19
Pastēte Nākotne Tīģerīši 180g,"1,99 € - 2,29 €",1.39
Pastete Lido Mājas 170g,"2,39 € - 2,89 €",1.89
Tēja Augļu Loyd Ar Aveņu Un Citrona Garšu Pyramids 2gx20,"2,49 € - 2,79 €",2.09
Biezenis Elfik Ābols Mango 5+ 100g,"1,09 € - 1,29 €",0.79
Biezenis Elfik Ābols Bumbieris Persiks Banāns 6+ 100g,"1,09 € - 1,29 €",0.79
Eļļa Kikkoman Sezama 100% 125 Ml,"4,39 € - 4,45 €",2.99
Biezenis Elfik Ābols Banāns Ar Putru 6+ 110g,"1,09 € - 1,29 €",0.79
Biezenis Elfik Ābols Persiks Ar Putru 6+ 110g,"1,09 € - 1,29 €",0.79
Saulespuķu Sēklas Mogyi Strīpainas Grauzdētas Ar Sāli 150g,"1,69 € - 2,15 €",0.99
Mērce Spilva Asia Saldskābā 350g,"3,09 € - 3,59 €",2.59
Mērce Spilva Street Food Terijaki 335g,"3,09 € - 3,59 €",2.59
Mērce Kikkoman Ramen 250ml,"5,99 € - 7,39 €",4.99
Mērce Kikkoman Sushi Bez Glutēna 345g,"5,19 € - 5,59 €",3.49
Kafijas Pupiņas Illy Medium Roast 250g,"13,29 € - 13,79 €",8.49
Tumšā Šokolāde Lindt Excellence Kakao 70% 100g,"4,89 € - 5,79 €",3.89
Biezenis Rūdolfs Lazanja Ar Jaunlopa Gaļu 8+ 190g,"1,89 € - 2,19 €",1.59
Skābais Krējums Tip Top 20% 400g,‌,1.49
Gardmaize Latvijas Maiznieks Augļu Ar Riekstiem 500g,"2,99 € - 3,25 €",2.49
Pudiņš Fit Proteīna Ar Sāļo Karameli 150g,"1,49 € - 1,79 €",1.09
Pudiņš Fit Proteīna Vaniļas 150g,"1,49 € - 1,79 €",1.09
Pudiņš Augu Izcelsmes Deary Kokosa Ar Čia Sēklām 150g,"1,19 € - 1,39 €",0.89
Proteīna Smūtijs Blumpower Šokolāde Banāns 460g,‌,1.79
Papīra Dvieļi Renova Maxi Absorption Xxl Extra 2kārtas 2ruļļ,‌,2.09
Desiņas Tarczynski Cūkgaļas Ar Bbq Mērces Pildījumu 95g,"2,69 € - 2,99 €",2.19
Desiņas Tarczynski Cūkgaļas Ar Čedaras Siera Pildījumu 95g,"2,69 € - 2,99 €",2.19
Jogurts Kārums Bifido Ar Avenēm Un Musli 350g,‌,1.19
Jogurts Kārums Bifido Ar Sēklām Un Ar Graudiem 350g,‌,1.19
D Alus Valmiermuiža Naukšēnu Sendienu 4.5% 0.5l Stikls,N/A,N/A
Pussparni Ķekava Īpašā Siera Marinādē 500g,"3,39 € - 3,69 €",2.99
Dzēriens Tymbark Auzu Barista Karameļu 1l,‌,2.49
Siers Fitaki Salātiem 500g,"5,99 € - 6,79 €",4.99
Biezpiena Sieriņš Fit Proteīna Zemeņu 46g,"0,69 € - 0,82 €",0.55
Biezpiena Sieriņš Fit Proteīna Vaniļas 46g,"0,69 € - 0,82 €",0.55
Mērce Pūre China Grill 280g,"1,99 € - 2,29 €",1.49
Biezpiens Baltais Exporta 9% 250g,"1,79 € - 2,09 €",1.49
Biezpiens Baltais Exporta Vājpiena 0.5% 250g,"1,79 € - 2,09 €",1.49
Siers Burrata Granarolo 125g,‌,1.99
Gardmaize Latvijas Maiznieks Senču Ar Ķimenēm 500g,"1,89 € - 2,19 €",1.59
Kafija Šķīstošā Jacob Cronat Inst Fd 150g,‌,5.29
Kafija Šķīstošā Jacobs 3in1 12.6g 1gab,"0,35 € - 0,45 €",0.19
Kafija Šķīstošā Jacobs 2in1 12.4g 1gab,"0,35 € - 0,45 €",0.19
Kafija Šķīstošā Jacobs 3in1 Mild 11.1g 1gab,"0,35 € - 0,45 €",0.19
Karbonāde Nākotne Karsti Kūp.fas. Sver.,"8,49 € - 10,49 €",6.99
Karbonāde Nākotne Karsti Kūp. Sver.,"8,49 € - 10,49 €",6.99
Biezenis Spilva Ābolu Oriģinālais 300g,"1,85 € - 1,95 €",1.39
Biezenis Spilva Ābolu Ar Mango Un Saldo Krējumu 300g,"2,15 € - 2,65 €",1.49
Biezenis Spilva Ābolu Oriģinālais Ar Saldo Krējumu 300g,"2,05 € - 2,55 €",1.45
Biezenis Spilva Ābolu Ar Persikiem Un Saldo Krējumu 300g,"2,15 € - 2,65 €",1.45
Biezenis Spilva Ābolu Ar Mellenēm Un Saldo Krējumu 300g,"2,15 € - 2,65 €",1.49
Tīr.līdzeklis Domestos Tualetei Citrus 750ml,‌,1.99
Ķīselis Valdo Dzērveņu 200g,‌,0.69
Tīr.līdzeklis Domestos Tualetei Atlantic 750ml,‌,1.99
Rīvmaize Kikkoman Panko Kraukšķīga 227g,"4,39 € - 4,49 €",2.99
D Alus Bezalk.lielvārdes Gaišais 0.5l Stikls,‌,0.79
Nūdeles Maggi Magic Asia Ar Pikantās Vistas Garšu 63g,"1,99 € - 2,19 €",1.49
Nūdeles Maggi Magic Asia Ar Pīles Garšu 63g,"1,99 € - 2,19 €",1.49
Karameles Zozole Ar Apelsīnu Citronu Garšu 75g,"0,99 € - 1,19 €",0.69
Dušas Želeja Dove  Deeply Nourishing 225ml,‌,2.89
Biezpiena Sieriņš Alma Ar Aveņu Pildījumu 40g,"0,59 € - 0,79 €",0.29
Giross Nākotne Vistas Cepts  220g,"3,79 € - 4,29 €",2.69
Olas Balticovo Brīvo Vistu Nr1 Aml 10gab,"3,49 € - 3,99 €",2.99
Raudzēts Piena Produkts Lakto Aveņu Bezlaktozes 200g,‌,0.79
Raudzēts Piena Produkts Lakto Meža Zemeņu Bezlaktozes 200g,‌,0.79
Kefīrs Tip Top 2% 1kg,‌,1.19
St.alk.dz.bonaparte Black 36% 0.5l,N/A,N/A
Košļājamā Konfekte Chupa Chups Incredible Chew Zemene 45g,"1,29 € - 1,49 €",0.99
Dražejas M&ms Zemesriekstu 200g,"4,75 € - 5,45 €",3.09
Veļas Mazg.kapsulas Persil Discs Color 13gab,"7,49 € - 9,49 €",5.99
Veļas Mazg.kapsulas Persil Discs Universal 13gab,"7,49 € - 9,49 €",5.99
Panna Fiskars  Keramikas Pārklājums 24cm,"40,99 € - 42,09 €",32.79
Panna Fiskars Keramikas Pārklājums 26cm,"46,99 € - 47,99 €",37.59
Tēja Zāļu Opā Kumelīšu 1.2gx20,‌,0.43
Tēja Zāļu Opā Piparmētru 1.5gx20,‌,0.43
Trifeles Ar Apelsīnu Mango Krēma Pildījumu  148g,"4,99 € - 5,69 €",3.49
Kafijas Pupiņas Merrild Crema Dolce 1kg,‌,19.49
Krēmsiers Tip Top Klasiskais 150g,‌,1.39
Kausētais Siers Tip Top Holandes 150g,‌,1.09
Foreles Fileja Zigmas Auksti Kūpināta Sagriezta 100g,"3,39 € - 3,69 €",2.99
Siļķu Fileja Kaija Matje Eļļā 250g,"2,29 € - 2,59 €",1.99
Makrele Kaija Auksti Kūpināta B/g Sagriezta Vak.250g,‌,3.79
Gurķi Nezhin Marinēti 5-7cm 450g,‌,1.89
Ķiršu Tomāti Nezhin Marinēti 450g,‌,2.29
Kabaču Ikri Nezhin 450g,‌,1.79
Pupiņas Heinz Piecu Veidu Maisījums Tomātu Mērcē 415g,‌,1.79
Ratatujs Nezhin 450g,‌,2.29
Košļājamā Konfekte Chupa Chups Incredible Chew Apelsīns 45g,"1,29 € - 1,49 €",0.99
Gardums Suņiem Primadog Vistas Un Jēlādas Kociņi 11gab.100g,"5,39 € - 5,69 €",3.69
Barība Kaķiem Sausā Tropi Mājputns 2kg,‌,3.19
Barība Kaķiem Kons.tropi Liell.mājputn.g.lasis 100gx6,‌,1.49
Smiltis Kaķiem Puffy Tail Silikagela 10l,‌,7.99
Barība Kaķiem Kons.friskies Gaļas Izlase.85gx12,"6,99 € - 7,99 €",3.39
Barība Kaķiem Sausā Friskies Junior Ar Vistas Gaļu 300g,"1,65 € - 1,95 €",1.35
Barība Kaķiem Kons.felix Tasty Shreds Gaļas Izlase 80gx4,"1,89 € - 2,19 €",1.59
Barība Kaķiem Kons.felix Tasty Shreds Zivju Izlase 80gx4,"1,89 € - 2,19 €",1.59
Barība Kaķiem Sausā Friskies Steriliz. Lasis-dārzeņi 300g,"1,65 € - 1,95 €",1.35
Biezpiena Krēms Alma Ar Zemenēm Un Zefīra Garšu 150g,"0,95 € - 1,15 €",0.65
Jogurta Dzēriens Actimel Zemeņu Kazeņu Melleņu 12x100g,"5,99 € - 6,79 €",3.99
Saldskābmaize Fazer Ierauga 500g,"1,69 € - 1,99 €",1.39
Makaroni Balticovo Olu Vermicelli 500g,"1,69 € - 1,99 €",1.39
Makaroni Balticovo Olu Cellentani 500g,"1,69 € - 1,99 €",1.39
Makaroni Balticovo Olu Fusilli 500g,"1,69 € - 1,99 €",1.39
Makaroni Balticovo Olu Spaghetti 500g,"1,69 € - 1,99 €",1.39
D Sidrs Lielvārdes Bumbieru 4.8% 0.5l Stikls,N/A,N/A
D Sidrs Lielvārdes Upeņu 4.8% 0.5l Stikls,N/A,N/A
Gaisa Atsv.ambi Pur Flowers Spring 185ml,‌,3.29
Gaisa Atsv.ambi Pur Ocean Mist 185ml,‌,3.29
Konservi Tuncis Kaija Eļļā Ar Zaļ.pipar. Un Citr. 160g Tl,"3,69 € - 4,09 €",2.79
Konservi Lasis Kaija Tomātu Mērcē Zupas Izlase 240g Eo,‌,1.29
Želejkonfektes Vidal Skābās Varavīksnes Zīmuļi 90g,"1,49 € - 1,79 €",0.99
Kafija Šķīstošā Nescafe Strong 3in1 16gx10 160g Maiss,"2,29 € - 2,59 €",1.99
Veļas Mazg.līdz.rex Color 900ml 20mr,"6,99 € - 7,15 €",4.89
Veļas Mazg.līdz.rex Universal 900ml 20mr,"6,99 € - 7,15 €",4.89
Porciju Maize Schulstad Hotdogu 180g,"1,99 € - 2,09 €",1.39
Jogurts Baltais Grieķu Ar Mellenēm 160g,"1,09 € - 1,39 €",0.79
Jogurts Baltais Grieķu Persiku 160g,"1,09 € - 1,39 €",0.79
Kafija Šķīstošā Tip Top Gold 200g,‌,6.89
Kafija Šķīstošā Tip Top Classic 200g,‌,6.29
Tofu Deary Deserts Glazēts Ar Dzērveņu Garšu 40g,"0,59 € - 0,69 €",0.39
Kafijas Pupiņas Jacobs Origins Brazil Columbia 1kg,"28,99 € - 30,19 €",17.99
Šķēres Šūšanai 12cm,"1,49 € - 1,79 €",1.05
Šūšanas Piederumu Komplekts Diegi Un Adatas 32gab,"1,99 € - 2,29 €",1.39
Sald. Pankūkas Viči Ar Gaļu 280g,"2,09 € - 2,39 €",1.79
Košļājamā Gumija Orbit Bottle Watermelon 46gab,‌,2.79
Košļājamā Gumija Orbit Bottle White Fresh Mint 46gab,‌,2.79
Reņģes Antares 1kg,"3,69 € - 4,09 €",3.19
Kūka Staburadze Tiramisu 280g,"3,79 € - 4,19 €",3.29
D Alus Kokteilis Solveza Mojito 4.5% 0.33l Stikls,N/A,N/A
Želeja Dr.oetker Ar Persiku Garšu 72g,"1,45 € - 1,49 €",1.16
Garšviela Santa Maria Citronpipari 33g,"1,62 € - 1,89 €",1.19
Želeja Dr.oetker Ar Meža Zemeņu Garšu 72g,"1,45 € - 1,49 €",1.16
Ūdens Tip Top Dzeramais Negāz.5l Pet,‌,0.89
D Ūdens Tip Top Dzeramais Gāz.1.5l Pet,‌,0.35
D Ūdens Tip Top Dzeramais Negāz.1.5l Pet,‌,0.35
D Ūdens Tip Top Dzeramais Sport Negāz.500ml Pet,‌,0.32
D Ūdens Tip Top Dzeramais Gāz.500ml Pet,‌,0.29
D Alk.kokt.garage Hard Tropical 6% 0.5l Can,N/A,N/A
D Alk.kokt.garage Hard Orange 6% 0.5l Can,N/A,N/A
Kafija Malta Jacobs Kronung 250g,‌,4.99
D Sidrs Iļģuciema Ābolu 5.7% 0.33l Stikls,N/A,N/A
D Sidrs Iļģuciema Ābolu& Ķiršu 5.7% 0.33l Stikls,N/A,N/A
Veļas Mazg.kapsulas Rex Lotus Universal 13gab,‌,4.89
Veļas Mazg.kapsulas Rex Orchid Color 13gab,‌,4.89
Vaniļas Pasta Dr.oetker 19g,"4,29 € - 4,99 €",2.59
Desa Noo Parmezāna Pilndūmu 250g,"3,39 € - 3,69 €",2.99
Bekons Rakvere Amerikāņu Gaumē Auksti Kūpināts Šķēlēs 1kg,"15,59 € - 16,39 €",10.99
D Alk.kokt. Mix Original Vodka & Watermelon 4% 0.33l Stikls,N/A,N/A
D Alk.kokt. Mix Original Gin&mango 4% 0.33l Stikls,N/A,N/A
D Alk.kokt. Mix Original Gin&passion Fr 4% 0.33l Stikls,N/A,N/A
Kefīrs Opā! 2% 900g,‌,0.89
Desa Rīgas Miesnieks Doktora Ekstra Sver.,"5,99 € - 6,49 €",4.99
Konfektes Roshen Korivka Sver.,"6,55 € - 7,05 €",5.55
Gaļa Nākotne Azaida Fas. Sver.,‌,6.99
Gaļa Nākotne Azaida Sver.,‌,6.99
D Alus Piebalgas Mērnieku 4.7% 0.5l Can,N/A,N/A
Piena Šokolāde Laima Vāverīte Ar Veseliem Lazdu Riekst.190g,"4,99 € - 5,29 €",3.49
Baltmaize Fazer Ierauga 500g,"1,79 € - 2,09 €",1.49
Plāksnītes Kartupeļu Hroom Ar Siera Garšu 50g,"0,69 € - 0,89 €",0.39
Plāksnītes Kartupeļu Hroom Krējums Zaļumi 50g,"0,69 € - 0,89 €",0.39
Plāksnītes Kartupeļu Hroom Ar Krabja Garšu 50g,"0,69 € - 0,89 €",0.39
D Alk.kokt.tip Top Upenīte 14% 0.5l Pet,N/A,N/A
D Alk.kokt.tip Top Citrusiņš 14% 0.5l Pet,N/A,N/A
Karameles Tip Top Ar Bārbeļu Garšu Sver.,‌,3.99
Sausās Brokastis Oho Sea Party 250g,"2,19 € - 2,59 €",1.69
Sausās Brokastis Oho Beach Party 250g,"2,19 € - 2,59 €",1.69
Dražejas M&ms Minis 176g,"4,75 € - 5,45 €",3.09
Raudzēts Piena Produkts Lakto Meža Zemene Bezlaktozes 270g,‌,0.99
Raudzēts Piena Prod Lakto Mellene Banāns Linsēk Bezlakt 270g,‌,0.99
Raudzēts Piena Produkts Lakto Zemene Mango Bezlaktozes 270g,‌,0.99
Raudzēts Piena Produkts Lakto Dabisks Bezlaktozes 270g,‌,0.99
D Dzēriens Pepsi Gāz.440ml Can,"1,29 € - 1,32 €",0.75
D Dzēriens Pepsi Max Gāz.1l Pet,‌,0.89
Nektārs Cido Exclusive Mango 1l,"2,65 € - 2,72 €",1.89
Ikru Pasta Norven Atlant. Zivju Baltajā Mērcē Ar Garn. 160g,"2,69 € - 2,99 €",2.29
Ikru Pasta Norven Atl. Zivju Baltajā Mērcē Ar Kūp. Lasi 160g,"2,69 € - 2,99 €",2.29
D Enerģijas Dzēr.red Bull Apricot Strawberry 250ml Can,‌,1.19
Nektārs Cido Greipfrūtu 60% 1l,"2,36 € - 2,45 €",1.65
D Alus Lielvārdes Kvasa 4.6% 0.5l Stikls,N/A,N/A
Matu Krāsa Palette  10-19 Vēsi Sudraba Blonds,"3,89 € - 4,29 €",3.39
Matu Krāsa Palette  3-65 Tumšā Šokolāde,"3,89 € - 4,29 €",3.39
Vīns B. Don Simon Nature Sauvignon Blanc 12.5% 0.75l,N/A,N/A
Vīns S. Don Simon Nature Merlot 12.5% 0.75l,N/A,N/A
Vīns S. Don Simon Nature Cabernet Sauvignon 12.5% 0.75l,N/A,N/A
Milti Tip Top Kviešu 2kg,‌,1.89
Milti Opā  Kviešu 2kg,‌,1.25
Kausētais Siers Sn Ar Garnelēm 150g,"1,85 € - 1,99 €",1.49
Kausētais Siers Sn Ar Sēnēm 150g,"1,79 € - 1,85 €",1.49
Kausētais Siers Sn Klasiskais 150g,"1,79 € - 1,85 €",1.49
Vīns S. Baile Bravo 11% 0.75l Pussalds,N/A,N/A
Vīns B. Baile Bravo 11% 0.75l Pussalds,N/A,N/A
Zobu Pasta Woom White 75ml,"6,99 € - 7,99 €",4.89
Zobu Pasta Woom Carbon 75ml,"6,99 € - 7,99 €",4.89
Zobu Pasta Woom Family Sensitive 75ml,"3,99 € - 4,09 €",2.79
Zobu Pasta Woom Junior Cola 6+gadi 50ml,"5,99 € - 6,15 €",4.19
Zobu Pasta Woom Family Whitening 75ml,"3,99 € - 4,09 €",2.79
Zobu Birste Woom Charcoal Soft,"3,69 € - 3,79 €",2.58
Zobu Birste Woom Kids Extra Soft 2-6gadi,"3,69 € - 3,79 €",2.58
Zobu Birste Woom Rozā Ultra Soft,"3,69 € - 3,99 €",2.58
Zobu Diegs Woom Carbon+expanding 30m,"4,69 € - 4,79 €",3.28
Saldais Biezpiens Baltais Tutti Frutti 180g,"1,29 € - 1,49 €",0.99
Šampūns Head&shoulders  2in1 Classic Clean 330ml,‌,4.69
Saldējums Magnum Almond 83g,‌,1.29
Vīns B. Florecampo Pinot Grigio Igt 12% 0.75l,N/A,N/A
Saldējums Magnum Multipack Mini Mix 6x55g,‌,5.99
Saldējums Magnum Euphoria Pink Lemonade 70g,‌,1.29
Saldējums Karlsons Dzērveņu 80g,"0,99 € - 1,19 €",0.59
Gaļa Rm Zemnieku Gaumē Sver.,"8,39 € - 10,39 €",6.89
Košļājamas Konfektes Skittles Wild Berry 95g,"1,89 € - 2,19 €",1.59
Košļājamas Konfektes Skittles Crazy Sours 95g,"1,89 € - 2,19 €",1.59
Košļājamas Konfektes Skittles Fruits 95g,"1,89 € - 2,19 €",1.59
Gaļa Rm Zemnieku Gaumē Fas.sver.,"8,39 € - 10,39 €",6.89
Zobu Pasta Blanx Classic Balinošā Advance Whitening 75ml,‌,3.89
Krēms Rokām Un Kājām Vita 80g,‌,1.25
Līdzeklis Acu Un Make Up Kosmētikas Noņemšanai Nivea 125ml,"5,61 € - 6,11 €",4.61
Dezodorants Nivea Fresh Natural Rullītis Siev.50ml,"3,19 € - 3,49 €",2.79
Dezodorants Nivea Black&white Clear Zīm.siev.50ml,"3,19 € - 3,49 €",2.79
Dezodorants Nivea Men Black&white Original Zīm.vīr.50ml,"3,19 € - 3,49 €",2.79
Dušas Želeja  Nivea Apricot 500ml,"4,49 € - 4,89 €",3.99
Dušas Želeja Nivea Star Fruit 500ml,"4,49 € - 4,89 €",3.99
Dušas Želeja Nivea Men Active Clean Vīr.500ml,"4,49 € - 4,89 €",3.99
Losjons Pēc Skūšanās Nivea Men Fresh Kick 100ml,"9,53 € - 11,53 €",8.03
Krēms Rokām Nivea Refreshing Care Aloe Vera 75ml,"2,55 € - 2,85 €",2.15
Lūpu Balzams Nivea Watermelon Shine 4.8g,"2,73 € - 3,03 €",2.33
Gaļas Bumbiņas Rakvere 300g,"2,89 € - 2,99 €",2.19
Pastēte Tip Top Aknu 180g,‌,1.29
Vafeļu Konfektes Pergale Fortūna Sver.,‌,5.99
Veļas Pulveris Purox Universal 5.5kg 66mr,"9,79 € - 10,19 €",7.35
Veļas Pulveris Purox Color 5.5kg,"9,79 € - 10,19 €",7.35
Trauku Mazg.mašīnai Tīrīšanas Līdzeklis Somat 3gab,"8,69 € - 8,89 €",4.75
Bietes Tip Top Vārītas Apaļās 500g,‌,0.95
Bietes Tip Top Vārītas Grieztas 500g,‌,0.99
Kafija Malta Löfbergs Inferno Extra Dark Ra 450g,‌,6.99
Kafijas Pupiņas Löfbergs Espresso Ra 1kg,"34,99 € - 35,69 €",17.99
Kāposti Dimdiņi Spicie Skābēti Ar Burkāniem Marinādē 850g,‌,1.15
